,subject,condition,filename,sequence,IC,high_IC_chosen,target_pos,target_metric_2,target_metric_4,accent,musician
0,dykydm,tonic Cs5,fc_IC_accent_3_4.mp3,"[1, 2, 6, 3, 2, 3, 1]",,0,4,1,1,1,0
1,dykydm,tonic Cs5,fc_IC_default_5_1.mp3,"[1, 2, 6, 5, 4, 3, 1]",,1,4,1,1,0,0
2,dykydm,tonic Cs5,fc_IC_accent_3_2.mp3,"[1, 2, 6, 3, 2, 3, 1]",,0,4,1,1,1,0
3,dykydm,tonic Cs5,fc_IC_accent_5_1.mp3,"[1, 2, 6, 5, 4, 5, 3, 1]",,0,4,1,1,1,0
4,dykydm,tonic Cs5,fc_IC_default_3_4.mp3,"[1, 2, 6, 3, 2, 3, 1]",,0,4,1,1,0,0
5,dykydm,tonic Cs5,fc_IC_accent_5_3.mp3,"[1, 2, 5, 4, 5, 3, 1]",,1,3,2,4,1,0
6,dykydm,tonic Cs5,fc_IC_accent_3_1.mp3,"[1, 2, 6, 3, 2, 3, 1]",,0,4,1,1,1,0
7,dykydm,tonic Cs5,fc_IC_accent_5_4.mp3,"[1, 2, 6, 5, 4, 3, 1]",,0,4,1,1,1,0
8,dykydm,tonic Cs5,fc_IC_default_5_2.mp3,"[1, 2, 6, 5, 4, 5, 3, 1]",,1,4,1,1,0,0
9,dykydm,tonic Cs5,fc_IC_accent_5_2.mp3,"[1, 3, 6, 5, 4, 5, 3, 1]",,0,4,1,1,1,0
10,dykydm,tonic Cs5,fc_IC_default_3_1.mp3,"[1, 2, 6, 3, 2, 5, 3, 1]",,0,4,1,1,0,0
11,dykydm,tonic Cs5,fc_IC_default_3_2.mp3,"[1, 2, 6, 3, 2, 3, 1]",,0,4,1,1,0,0
12,dykydm,tonic Cs5,fc_IC_default_3_3.mp3,"[1, 2, 6, 3, 2, 5, 3, 1]",,0,4,1,1,0,0
13,dykydm,tonic Cs5,fc_IC_accent_3_3.mp3,"[1, 2, 3, 6, 3, 2, 3, 1]",,0,5,2,2,1,0
14,dykydm,tonic Cs5,fc_IC_default_5_4.mp3,"[1, 2, 6, 5, 4, 3, 1]",,0,4,1,1,0,0
15,dykydm,tonic Cs5,fc_IC_default_5_3.mp3,"[1, 3, 6, 5, 4, 3, 1]",,1,4,1,1,0,0
16,vxh5qr,tonic Cs5,fc_IC_accent_3_1.mp3,"[1, 2, 6, 3, 2, 3, 1]",,1,4,1,1,1,0
17,vxh5qr,tonic Cs5,fc_IC_accent_5_4.mp3,"[1, 2, 6, 5, 4, 3, 1]",,0,4,1,1,1,0
18,vxh5qr,tonic Cs5,fc_IC_accent_5_1.mp3,"[1, 2, 6, 5, 4, 5, 3, 1]",,0,4,1,1,1,0
19,vxh5qr,tonic Cs5,fc_IC_default_3_1.mp3,"[1, 2, 6, 3, 2, 5, 3, 1]",,0,4,1,1,0,0
20,vxh5qr,tonic Cs5,fc_IC_accent_3_4.mp3,"[1, 2, 6, 3, 2, 3, 1]",,0,4,1,1,1,0
21,vxh5qr,tonic Cs5,fc_IC_default_5_2.mp3,"[1, 2, 6, 5, 4, 5, 3, 1]",,0,4,1,1,0,0
22,vxh5qr,tonic Cs5,fc_IC_accent_5_2.mp3,"[1, 3, 6, 5, 4, 5, 3, 1]",,0,4,1,1,1,0
23,vxh5qr,tonic Cs5,fc_IC_accent_3_3.mp3,"[1, 2, 3, 6, 3, 2, 3, 1]",,0,5,2,2,1,0
24,vxh5qr,tonic Cs5,fc_IC_default_3_2.mp3,"[1, 2, 6, 3, 2, 3, 1]",,1,4,1,1,0,0
