rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject,stimulus,task,correct,subtask,slider_start,accent,high_IC,accent_chosen,high_IC_chosen,question_order
20619,"{""prolific_id"":""5ff201c55ce3ae1a22fcf4d5""}",survey-html-form,0,20625,0.0-0.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,,,,,,,,,,
2542, ,html-keyboard-response,1,23169,0.0-1.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"
    <p>Please complete the experiment in a quiet place.
      We highly recommend using headphones.</p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
3002, ,html-keyboard-response,2,26171,0.0-2.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"
    <p>A series of soundchecks will now be played to help you adjust the volume
      to a comfortable level. </p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
7189,1,audio-button-response,3,33984,0.0-3.0-0.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,grammatical_1.mp3,,,,,,,,,
16802, ,html-keyboard-response,4,50789,0.0-4.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"<p width = 300 px>
    You will now hear two melodies in succession. 
    The notes in each melody are the same, but there is an accent on one note for one of the melodies. 
    <b>Listen for which melody has the accent.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
3309, ,html-keyboard-response,5,54100,0.0-5.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"<p width = 300 px>
    <b>You must score at least 2/3 to proceed with the experiment.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
7179,1,audio-button-response,6,61403,0.0-6.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,fc_accents_32_1.mp3,soundcheck,true,,,,,,,
1010, ,html-keyboard-response,7,62415,0.0-7.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
6600,1,audio-button-response,8,69120,0.0-8.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,fc_accents_56_4.mp3,soundcheck,true,,,,,,,
817, ,html-keyboard-response,9,69939,0.0-9.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
6469,1,audio-button-response,10,76519,0.0-10.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,fc_accents_54_4.mp3,soundcheck,true,,,,,,,
823, ,html-keyboard-response,11,77343,0.0-11.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
4724, ,html-keyboard-response,12,82068,0.0-12.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"If you got <b>less than 2/3</b> of the previous soundcheck questions correct, <b>we unfortunately cannot use your data or pay you</b>. Please exit the experiment now.
    
    <p>If you got <b>more than 2/3</b> correct, press the space bar to continue</p>.",,,,,,,,,
3436, ,html-keyboard-response,13,85505,0.0-13.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"<p>Please listen carefully to the following set of melodies. 
      You will occassionally be asked some basic questions about some of the melodies to check your attention level. </p>
    <p><b>Press the space bar to continue.</b></p>",,,,,,,,,
3698, ,html-keyboard-response,14,89204,0.0-14.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"<p>The attention questions vary in difficulty, but you must get at least some questions correct for us to pay you.</p>
    <p><b>Press the space bar to continue.</b></p>",,,,,,,,,
3578, ,html-keyboard-response,15,92783,0.0-15.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"
    This part of the experiment should take <b>15-20 minutes</b>. 
    <p><b>Press the space bar to begin.</b></p>",,,,,,,,,
null,null,audio-keyboard-response,16,116164,0.0-16.0-0.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"[""exposure_4s_18.mp3""]",exposure,,exp_noresponse,,,,,,
8579,1,audio-button-response,17,124866,0.0-16.0-1.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,attn_length_easy_1.mp3,exposure,true,attncheck,,,,,,
null,null,audio-keyboard-response,18,148078,0.0-16.0-2.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"[""exposure_4s_34.mp3""]",exposure,,exp_noresponse,,,,,,
8371,1,audio-button-response,19,156452,0.0-16.0-3.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,attn_length_easy_1.mp3,exposure,true,attncheck,,,,,,
7080,5,audio-slider-response,20,163548,0.0-16.0-4.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"[""grammatical_1.mp3""]",exposure,,exp_liking,4,,,,,
null,null,audio-keyboard-response,21,186914,0.0-16.0-5.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"[""exposure_4s_26.mp3""]",exposure,,exp_noresponse,,,,,,
5429,5,audio-slider-response,22,192436,0.0-16.0-6.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"[""grammatical_7.mp3""]",exposure,,exp_liking,4,,,,,
8611,5,audio-slider-response,23,201052,0.0-16.0-7.0,11,tonic A4,2024-06-01 10:24:29,dbf4c01b3354d3453d67d51790ec2aaf,86.158.164.74,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0",WebKit,Edge,124.0.0.0,Windows,10.0,https://app.prolific.com/,"en-GB,en;q=0.9,en-US;q=0.8",wzewhd,"[""grammatical_7.mp3""]",exposure,,exp_liking,4,,,,,
