,rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject,filename,task,correct,subtask,slider_start,accent,high_IC,accent_chosen,high_IC_chosen,question_order,Unnamed: 0,grammaticality,sequence
0,5486.0,7,audio-slider-response,78,1369852,0.0-19.0-0.0,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,grammatical_5.mp3,grammar_learning,,,4.0,,,,,,,grammatical,
1,6078.0,6,audio-slider-response,79,1375929,0.0-19.0-0.1,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,grammatical_2.mp3,grammar_learning,,,4.0,,,,,,,grammatical,
2,7041.0,5,audio-slider-response,80,1383046,0.0-19.0-0.2,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,grammatical_4.mp3,grammar_learning,,,4.0,,,,,,,grammatical,
3,5799.0,6,audio-slider-response,81,1388921,0.0-19.0-0.3,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,grammatical_7.mp3,grammar_learning,,,4.0,,,,,,,grammatical,
4,6821.0,7,audio-slider-response,82,1395819,0.0-19.0-0.4,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,grammatical_6.mp3,grammar_learning,,,4.0,,,,,,,grammatical,
5,5648.0,3,audio-slider-response,83,1401543,0.0-19.0-0.5,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,agrammatical_6.mp3,grammar_learning,,,4.0,,,,,,,agrammatical,
6,7117.0,3,audio-slider-response,84,1408751,0.0-19.0-0.6,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,agrammatical_4.mp3,grammar_learning,,,4.0,,,,,,,agrammatical,
7,8789.0,7,audio-slider-response,85,1417603,0.0-19.0-0.7,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,grammatical_8.mp3,grammar_learning,,,4.0,,,,,,,grammatical,
8,8110.0,2,audio-slider-response,86,1425782,0.0-19.0-0.8,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,agrammatical_8.mp3,grammar_learning,,,4.0,,,,,,,agrammatical,
9,7378.0,2,audio-slider-response,87,1433302,0.0-19.0-0.9,20,tonic Cs5,2024-06-02 19:23:40,6002660e01f3b1b72159da84d3eceb55,174.82.68.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Macintosh,Chrome,125.0.0.0,OS X,10_15_7,https://app.prolific.com/,"en-US,en;q=0.9",dykydm,agrammatical_2.mp3,grammar_learning,,,4.0,,,,,,,agrammatical,
