rt,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,subject,stimulus,task,correct,subtask,slider_start,accent,high_IC,accent_chosen,high_IC_chosen,question_order
77361,"{""prolific_id"":""660fd2f6a15c7b5aa81b52c8""}",survey-html-form,0,77368,0.0-0.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,,,,,,,,,,
11213, ,html-keyboard-response,1,88591,0.0-1.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,"
    <p>Please complete the experiment in a quiet place.
      We highly recommend using headphones.</p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
8649, ,html-keyboard-response,2,97243,0.0-2.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,"
    <p>A series of soundchecks will now be played to help you adjust the volume
      to a comfortable level. </p>

    </p align = 'justify'> <b>Press the space bar to proceed.</b> </p>",,,,,,,,,
9381,0,audio-button-response,3,107097,0.0-3.0-0.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,grammatical_1.mp3,,,,,,,,,
5088,1,audio-button-response,4,112193,0.0-3.1-0.1,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,grammatical_1.mp3,,,,,,,,,
14282, ,html-keyboard-response,5,126477,0.0-4.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,"<p width = 300 px>
    You will now hear two melodies in succession. 
    The notes in each melody are the same, but there is an accent on one note for one of the melodies. 
    <b>Listen for which melody has the accent.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
5059, ,html-keyboard-response,6,131538,0.0-5.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,"<p width = 300 px>
    <b>You must score at least 2/3 to proceed with the experiment.</b>
    </p>
    
    Press the space bar to continue.",,,,,,,,,
19120,1,audio-button-response,7,150907,0.0-6.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,fc_accents_32_1.mp3,soundcheck,true,,,,,,,
1680, ,html-keyboard-response,8,152589,0.0-7.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,<p>Correct!</p> Press the space bar to continue.,,,,,,,,,
9571,0,audio-button-response,9,162425,0.0-8.0,3,tonic G4,2024-04-30 12:07:05,82b5fab46a22c85f845190e7e39286c1,2.87.97.115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",WebKit,Chrome,124.0.0.0,Windows,10.0,https://app.prolific.com/,"el-GR,el;q=0.9",a237ah,fc_accents_56_4.mp3,soundcheck,false,,,,,,,
